site_id,igbp_class,location_lat,location_long,n_years_nee,n_years_gpp,n_years_ter,n_years_le,n_years_h,nep_median,gpp_median,ter_median,et_median,h_median,nep_source,gpp_source,ter_source,gpp_partition,ter_partition,vut_frac_nee
US-ICs,WET,68.6058,-149.311,6,6,5,13,14,-82.81660000000001,218.2045,263.204,158.94854684081633,-5.319585,BOTH,BOTH,BOTH,NT,NT,0.8333333333333334
US-ICt,OSH,68.6063,-149.3041,6,5,6,7,6,4.2661999999999995,232.683,216.7885,130.8609947755102,0.51226485,VUT,VUT,VUT,NT,NT,1
US-Jo1,OSH,32.582,-106.635,9,9,9,9,10,153.096,309.814,156.814,233.9976719020408,60.0863,VUT,VUT,VUT,NT,NT,1
US-Jo2,OSH,32.5849,-106.6032,5,5,5,8,8,125.646,415.26,215.294,250.80048382040815,65.29755,CUT,CUT,CUT,NT,NT,0
US-KFS,GRA,39.0561,-95.1907,7,7,7,10,10,63.0111,921.487,946.908,504.86750125714286,23.5456,VUT,VUT,VUT,NT,NT,1
US-Kon,GRA,39.0824,-96.5603,10,10,10,13,13,152.9445,1659.875,1579.9,669.5827164734694,18.8032,VUT,VUT,VUT,NT,NT,1
US-KPL,WET,60.5382,-150.5061,3,3,3,3,3,31.0224,400.827,378.259,228.94845590204082,5.34481,VUT,VUT,VUT,NT,NT,1
US-KS1,ENF,28.4583,-80.6709,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-KS2,CSH,28.6086,-80.6715,3,3,3,4,4,344.168,1799.38,1441.21,931.0709221714285,31.65085,VUT,VUT,VUT,NT,NT,1
US-KS3,WET,28.7084,-80.7427,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-LA2,WET,29.8587,-90.2869,1,1,1,1,1,396.464,1513.35,1087.13,590.2301652244897,14.7937,CUT,CUT,CUT,NT,NT,0
US-LA3,WET,29.4936,-89.9153,1,1,1,1,1,656.212,2277.52,1588.4,880.1878343510206,33.2022,VUT,VUT,VUT,NT,NT,1
US-Lin,CRO,36.3566,-119.0922,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Los,WET,46.0827,-89.9786,16,16,16,15,16,103.324,871.8495,747.2825,464.7481311673469,24.107599999999998,CUT,CUT,CUT,NT,NT,0
US-LS1,GRA,31.5615,-110.1403,4,4,4,4,4,119.5771,845.8805,718.524,553.4005139265306,55.40715,VUT,VUT,VUT,NT,NT,1
US-MBP,WET,47.5051,-93.4893,15,15,15,16,16,222.787,550.771,328.208,548.6836187755102,8.045819999999999,VUT,VUT,VUT,NT,NT,1
US-Me1,ENF,44.5794,-121.5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Me3,ENF,44.3154,-121.6078,3,3,3,3,3,13.8546,736.34,702.266,343.7846302040816,38.2613,VUT,VUT,VUT,NT,NT,1
US-Me5,ENF,44.4372,-121.5668,2,2,2,2,2,146.1815,820.283,674.7145,369.46994047346936,44.025549999999996,VUT,VUT,VUT,NT,NT,1
US-Me6,ENF,44.3232,-121.6044,11,11,11,13,13,29.7946,877.878,783.941,296.74319715918364,50.9185,VUT,VUT,VUT,NT,NT,1
US-Me7,ENF,44.4534,-121.5619,1,1,1,1,1,-402.985,-43.5159,393.945,70.42381135346939,8.0281,VUT,VUT,VUT,NT,NT,1
US-MEF,ENF,39.1006,-105.1024,2,2,2,2,2,86.37735,1026.0685,943.0405000000001,440.2536372734694,44.472849999999994,VUT,VUT,VUT,NT,NT,1
US-MMS,DBF,39.3232,-86.4133,24,24,24,25,25,430.4275,1713.69,1277.21,507.82489920000006,25.0611,VUT,VUT,VUT,NT,NT,1
US-MN1,CRO,45.6168,-96.1269,7,7,7,7,7,207.021,1298.76,1026.53,460.9431862530612,14.3833,VUT,VUT,VUT,NT,NT,1
US-MN2,CRO,45.627,-96.1271,7,7,7,7,7,59.5408,979.901,903.434,495.6552581877552,12.1862,VUT,VUT,VUT,NT,NT,1
US-MN3,CRO,45.6091,-96.1265,4,3,3,4,4,289.70079999999996,1236.24,1035.4,557.1210905632653,14.61595,VUT,VUT,VUT,NT,NT,1
US-Mo1,CRO,39.2298,-92.1167,8,8,8,8,8,371.22950000000003,1666.685,1310.38,663.6415152489797,16.717,VUT,VUT,VUT,NT,NT,1
US-Mo2,GRA,38.9488,-91.9945,6,6,6,6,6,19.99185,1132.915,1184.57,657.7949868244898,21.971,VUT,VUT,VUT,NT,NT,1
US-Mo3,CRO,39.2322,-92.1493,7,7,7,7,7,243.935,1270.99,985.028,578.1068945632653,16.859,VUT,VUT,VUT,NT,NT,1
US-MOz,DBF,38.7441,-92.2,15,15,15,16,16,360.44,1521.21,1072.69,582.6196313632654,29.444499999999998,VUT,VUT,VUT,NT,NT,1
US-Mpj,WSA,34.4382,-106.2385,17,17,17,18,18,100.759,569.945,458.884,337.19810826122455,72.75280000000001,VUT,VUT,VUT,NT,NT,1
US-MtB,ENF,32.416,-110.7256,4,4,4,12,12,519.716,1048.105,645.5409999999999,708.3682949387755,69.6752,BOTH,BOTH,BOTH,NT,NT,0.75
US-Myb,WET,38.0499,-121.765,13,13,13,14,14,436.315,1620.83,1071.66,1029.9821010612245,12.86985,BOTH,BOTH,BOTH,NT,NT,0.9230769230769231
US-MZA,WET,43.0441,-76.7897,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-NC1,ENF,35.8118,-76.7119,7,7,7,7,7,-223.141,2266.79,2078.11,615.1014182204082,23.5561,VUT,VUT,VUT,NT,NT,1
US-NC2,ENF,35.803,-76.6685,12,12,12,14,17,665.348,2530.17,1820.2849999999999,787.2030439346938,26.1138,VUT,VUT,VUT,NT,NT,1
US-NC3,ENF,35.799,-76.656,4,4,4,5,5,85.73435,1971.62,2073.385,950.6334140081633,25.2759,VUT,VUT,VUT,NT,NT,1
US-NC4,WET,35.7817,-75.9135,5,5,5,9,9,41.0472,2077.08,1754.78,1027.4317317551022,27.734,CUT,CUT,CUT,NT,NT,0
US-NC5,ENF,36.1565,-78.7878,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Ne1,CRO,41.1651,-96.4766,23,23,23,23,23,329.489,1658.49,1314,672.2039293714286,20.5862,VUT,VUT,VUT,NT,NT,1
US-Ne2,CRO,41.1649,-96.4701,21,21,21,23,23,437.83,1634.24,1261.59,651.6876251755101,22.9933,VUT,VUT,VUT,NT,NT,1
US-Ne3,CRO,41.1797,-96.4397,22,22,22,22,22,68.3637,1321.4850000000001,1023.99,590.6172288489796,25.5188,VUT,VUT,VUT,NT,NT,1
US-NGB,SNO,71.28,-156.6092,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-NGC,GRA,64.8618,-163.7002,0,0,0,1,1,NA,NA,NA,190.3219535020408,-2.61643,NA,NA,NA,NA,NA,NA
US-NR1,ENF,40.0329,-105.547,17,17,17,23,26,174.809,850.192,668.782,601.3616256,39.69615,CUT,CUT,CUT,NT,NT,0
US-NR3,GRA,40.052,-105.5864,0,0,0,6,6,NA,NA,NA,335.088901322449,15.0123,NA,NA,NA,NA,NA,NA
US-NSa,CRO,36.6029,-119.5061,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-NSb,CRO,36.3354,-120.1183,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Oho,DBF,41.5545,-83.8438,8,8,8,9,9,843.5145,1801.99,931.447,604.3203116081633,24.1867,VUT,VUT,VUT,NT,NT,1
US-ONA,GRA,27.3836,-81.9509,6,6,6,6,6,303.493,1866.185,1437.53,879.046608489796,36.67235,VUT,VUT,VUT,NT,NT,1
US-OPE,CRO,39.0293,-76.8457,1,1,1,1,1,30.7913,1726.78,1813.09,541.6907122285714,21.8179,VUT,VUT,VUT,NT,NT,1
US-OWC,WET,41.3793,-82.5124,1,1,1,1,1,-99.0276,596.98,671.193,852.6258129306123,8.35121,CUT,CUT,CUT,NT,NT,0
US-PAS,GRA,27.3944,-81.951,1,1,1,1,1,333.858,2614.1,2324.67,924.7536058775511,25.2599,VUT,VUT,VUT,NT,NT,1
US-PFb,ENF,45.972,-90.3232,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFc,DBF,45.9677,-90.3088,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFd,WET,45.9689,-90.301,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFf,GRA,45.9458,-90.2944,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFg,ENF,45.9735,-90.2723,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFh,ENF,45.9557,-90.2406,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFi,DBF,45.9749,-90.2327,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFj,DBF,45.9619,-90.227,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFk,DBF,45.9149,-90.3425,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFL,DBF,45.9409,-90.3177,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFm,DBF,45.9207,-90.3099,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFn,DBF,45.9392,-90.2823,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFp,DBF,45.9365,-90.2641,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFq,DBF,45.9271,-90.2475,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFr,WET,45.9245,-90.2475,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PFt,ENF,45.9197,-90.2288,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PLo,WET,42.7496,-70.9157,1,1,1,1,1,253.568,850.462,598.676,524.7140114938776,25.5063,VUT,VUT,VUT,NT,NT,1
US-Prr,ENF,65.1237,-147.4876,5,5,5,5,9,21.7209,437.094,382.218,193.09773423673468,13.737,VUT,VUT,VUT,NT,NT,1
US-PSH,DBF,36.2347,-119.9247,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-PSL,DBF,36.8276,-120.1397,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-RC1,CRO,46.7837,-117.0777,4,4,4,4,4,275.79200000000003,1206.79,908.3389999999999,445.11415170612247,19.725499999999997,VUT,VUT,VUT,NT,NT,1
US-RC2,CRO,46.7776,-117.0807,3,3,3,3,3,159.97,1229.9,1052.28,429.9420304653062,26.496,VUT,VUT,VUT,NT,NT,1
US-RC3,CRO,46.991,-118.598,4,4,4,4,4,163.58865,683.4615,557.7570000000001,227.69388029387753,38.13695,VUT,VUT,VUT,NT,NT,1
US-RC4,CRO,46.758,-116.949,3,3,3,3,3,256.152,644.891,368.097,484.63585949387755,19.5865,VUT,VUT,VUT,NT,NT,1
US-RC5,CRO,47.01,-119.248,0,0,0,1,1,NA,NA,NA,712.6453157877552,11.1055,NA,NA,NA,NA,NA,NA
US-RGA,CRO,34.4159,-91.6733,2,2,2,2,2,235.831815,1547.78,1315.52,734.5604589061224,19.7223,VUT,VUT,VUT,NT,NT,1
US-RGB,CRO,39.5782,-121.8579,2,2,2,2,2,83.22855000000001,1614.385,1522.2350000000001,812.923131967347,9.142885,VUT,VUT,VUT,NT,NT,1
US-RGF,CRO,37.6995,-121.1369,1,1,1,1,1,183.188,2879.15,2716.95,1000.5201833142856,22.9926,VUT,VUT,VUT,NT,NT,1
US-RGo,CRO,39.6805,-122.0026,3,3,3,3,3,203.635,1527.4,1338.29,747.7180460081632,15.9383,VUT,VUT,VUT,NT,NT,1
US-RGW,CRO,33.6216,-91.4306,2,2,2,2,2,297.44399999999996,1252.885,951.573,790.7838654857143,12.02208,VUT,VUT,VUT,NT,NT,1
US-Rls,CSH,43.1439,-116.7356,7,7,7,7,7,31.4451,785.006,759.979,409.77865616326534,29.9013,CUT,CUT,CUT,NT,NT,0
US-Rms,CSH,43.0645,-116.7486,7,7,7,7,7,17.385,914.75,862.156,470.5753386122449,12.1254,VUT,VUT,VUT,NT,NT,1
US-Ro1,CRO,44.7143,-93.0898,13,13,13,13,13,58.8655,842.551,847.17,511.9995188571428,11.7906,VUT,VUT,VUT,NT,NT,1
US-Ro2,CRO,44.7288,-93.0888,3,3,3,3,3,167.74,1536.32,963.043,610.4089963102041,5.84644,VUT,VUT,VUT,NT,NT,1
US-Ro3,CRO,44.7217,-93.0893,3,3,3,3,3,391.998,1101.71,893.031,487.3407966367347,15.5594,VUT,VUT,VUT,NT,NT,1
US-Ro4,GRA,44.6781,-93.0723,11,11,11,11,11,276.381,1142.23,833.023,386.9683076571429,23.9579,VUT,VUT,VUT,NT,NT,1
US-Ro5,CRO,44.691,-93.0576,8,8,8,8,8,169.66975,1142.933,980.341,447.77915882448985,11.8266,VUT,VUT,VUT,NT,NT,1
US-Ro6,CRO,44.6946,-93.0578,8,8,8,8,8,201.1,1173.32,951.769,527.0080558040816,8.66853,VUT,VUT,VUT,NT,NT,1
US-Rpf,DBF,65.1198,-147.429,9,9,9,12,14,29.1982,540.99,616.76,257.45784935510204,4.02943,BOTH,BOTH,BOTH,NT,NT,0.8888888888888888
US-RRC,WET,37.3344,-77.2065,1,1,1,1,1,-367.193,1529.38,1918.05,949.1289537306124,19.2008,VUT,VUT,VUT,NT,NT,1
US-Rwe,CSH,43.0653,-116.7591,3,3,3,3,3,88.267,601.649,517.801,486.17767366530614,5.38779,VUT,VUT,VUT,NT,NT,1
US-Rwf,CSH,43.1207,-116.7231,6,6,6,8,8,40.123000000000005,859.6134999999999,807.992,478.2605802612245,13.624199999999998,VUT,VUT,VUT,NT,NT,1
US-Rws,OSH,43.1675,-116.7132,8,8,8,8,8,67.84585,481.12350000000004,412.5505,297.59396429387755,24.1084,VUT,VUT,VUT,NT,NT,1
US-Sag,WET,69.5131,-148.5676,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-SD1,CRO,41.2048,-86.0296,1,1,1,1,1,-253.115,1227.76,1500.77,742.9689492244897,16.4247,VUT,VUT,VUT,NT,NT,1
US-SD2,CRO,41.1785,-85.9977,1,1,1,1,1,-46.9349,1095.09,1192.02,658.6573465469388,16.2916,VUT,VUT,VUT,NT,NT,1
US-Seg,GRA,34.3603,-106.7003,18,18,18,19,19,15.899750000000001,174.9565,156.80700000000002,221.69793629387755,54.4207,VUT,VUT,VUT,NT,NT,1
US-Ses,OSH,34.335,-106.7448,18,18,18,18,19,19.63635,130.13049999999998,115.78999999999999,212.7748638857143,56.1256,VUT,VUT,VUT,NT,NT,1
US-SHC,ENF,39.4315,-120.2398,2,2,2,2,2,56.260450000000006,1884.305,1680.27,556.7443314612245,30.94945,VUT,VUT,VUT,NT,NT,1
US-Slt,DBF,39.9138,-74.596,17,17,17,17,18,149.524,1424.8,1334.1,674.7517225469388,32.973349999999996,VUT,VUT,VUT,NT,NT,1
US-Sne,GRA,38.0369,-121.7547,4,4,4,4,4,-126.83949999999999,721.0775,718.6145,1219.1988945306123,8.04244,VUT,VUT,VUT,NT,NT,1
US-Snf,GRA,38.0402,-121.7272,1,1,1,1,1,-417.23,1718.35,2215.21,795.1111208816327,18.1945,VUT,VUT,VUT,NT,NT,1
US-SP1,ENF,29.7381,-82.2188,16,15,15,17,17,339.445,1676.96,1173.43,697.7449763265306,37.2055,VUT,VUT,VUT,NT,NT,1
US-SRC,OSH,31.9083,-110.8395,2,2,2,3,3,58.1546,226.805,157.427,241.86517479183675,58.8092,VUT,VUT,VUT,NT,NT,1
US-SRG,GRA,31.7894,-110.8277,17,17,17,17,17,12.4634,546.799,485.43,427.2036036244898,46.6252,VUT,VUT,VUT,NT,NT,1
US-SRM,WSA,31.8214,-110.8661,22,22,22,22,22,-30.0664,287.8065,333.8485,332.7143529306122,62.378249999999994,VUT,VUT,VUT,NT,NT,1
US-Srr,WET,38.2006,-122.0264,0,0,0,2,2,NA,NA,NA,842.4417245877551,35.86765,NA,NA,NA,NA,NA,NA
US-SRS,WSA,31.8173,-110.8508,7,7,7,7,7,168.854,661.937,530.446,403.96819356734693,59.8786,VUT,VUT,VUT,NT,NT,1
US-SSH,DBF,40.6658,-77.9041,3,3,3,3,3,366.474,1024.45,639.047,472.0308524081633,26.7426,VUT,VUT,VUT,NT,NT,1
US-Sta,OSH,41.3966,-106.8024,1,1,1,1,1,317.509,392.022,141.369,448.6833806693878,5.09264,VUT,VUT,VUT,DT,DT,1
US-StJ,WET,39.0882,-75.4372,4,4,4,4,4,-18.18365,1374.06,1380.4,516.8967431510205,30.97305,VUT,VUT,VUT,NT,NT,1
US-Syv,MF,46.2421,-89.3459,9,9,9,13,16,37.656,1367.78,1341.04,416.01289224489796,20.03175,CUT,CUT,CUT,NT,NT,0
US-TaS,WET,25.1908,-80.6391,6,6,6,6,5,414.6195,831.2225000000001,372.22249999999997,946.9843249959183,39.0863,VUT,VUT,VUT,NT,NT,1
US-TKs,CSH,68.6337,-149.5769,3,3,3,3,3,-34.2983,249.962,287.386,225.76435846530612,-3.64672,BOTH,BOTH,BOTH,NT,NT,0.6666666666666666
US-TLR,MF,35.9168,-76.1463,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Ton,WSA,38.4309,-120.966,24,24,24,24,24,5.86273,977.4670000000001,949.0925,385.98937802448984,57.8023,VUT,VUT,VUT,NT,NT,1
US-Tw1,WET,38.1074,-121.6469,1,1,1,11,11,563.805,2037.25,1470.95,932.8877382857144,31.5042,VUT,VUT,VUT,NT,NT,1
US-Tw2,CRO,38.0969,-121.6365,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-Tw3,CRO,38.1152,-121.6469,2,2,2,4,4,84.9391,2165.37,2060.05,891.4860991836734,13.900500000000001,VUT,VUT,VUT,NT,NT,1
US-Tw4,WET,38.1027,-121.6413,11,11,11,11,11,465.719,1714.98,1163.15,1000.7443066775511,18.7388,VUT,VUT,VUT,NT,NT,1
US-Tw5,WET,38.1072,-121.6426,1,1,1,1,1,569.87,1811.71,1203.11,979.6676940734694,7.76541,VUT,VUT,VUT,NT,NT,1
US-Twt,CRO,38.1087,-121.6531,6,6,6,7,7,-207.825,1357.2649999999999,1686.705,1037.2004190367347,10.1933,BOTH,BOTH,BOTH,NT,NT,0.8333333333333334
US-Uaf,ENF,64.8663,-147.8555,11,7,8,18,22,108.269,628.8,518.283,191.0348976489796,16.6892,CUT,CUT,CUT,NT,NT,0
US-UC1,CVM,40.7536,-78.0056,5,5,5,5,5,679.706,1398.87,851.942,511.82434197551015,16.4097,VUT,VUT,VUT,NT,NT,1
US-UC2,CVM,40.7559,-77.9998,4,4,4,4,4,411.515,1197.215,852.684,474.65914966530613,16.27515,VUT,VUT,VUT,NT,NT,1
US-UiA,CRO,40.0646,-88.1961,7,7,7,7,7,457.462,1788.17,1345.41,700.2348065632654,16.5047,CUT,CUT,CUT,NT,NT,0
US-UiB,CRO,40.0628,-88.1984,11,9,9,12,12,844.718,1856.79,1106.86,519.1006228897959,19.47235,CUT,CUT,CUT,NT,NT,0
US-UiC,CRO,40.0628,-88.1961,13,8,8,14,15,114.954,1389.81,1306.415,771.3810937469389,19.4591,CUT,CUT,CUT,NT,NT,0
US-UiD,GRA,40.0646,-88.1985,6,6,6,7,7,366.001,1770.16,1370.935,754.8771129795919,16.2435,CUT,CUT,CUT,NT,NT,0
US-UiE,CRO,40.0629,-88.2033,5,5,5,6,6,320.886,1992.58,1598.56,726.4366310204082,23.2382,VUT,VUT,VUT,NT,NT,1
US-UiF,CRO,40.0665,-88.2015,4,4,4,4,4,836.122,1672.295,741.9695,536.6724097959184,24.5044,VUT,VUT,VUT,NT,NT,1
US-UiG,CRO,40.0629,-88.2009,4,4,4,5,5,282.565,1816.045,1468.07,753.0635170285715,26.932,BOTH,BOTH,BOTH,NT,NT,0.75
US-UMd,DBF,45.5625,-84.6975,16,16,16,16,14,401.7965,1370.94,981.3554999999999,391.32325645714286,31.86325,VUT,VUT,VUT,NT,NT,1
US-UTB,BSV,40.7848,-113.8299,1,1,1,1,1,80.5143,107.669,58.9659,91.66761483428571,7.48151,VUT,VUT,VUT,DT,DT,1
US-UTD,CRO,38.1038,-109.5952,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-UTE,CRO,37.7353,-111.5708,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-UTJ,CRO,37.2818,-109.5348,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-UTL,CRO,40.1877,-109.6579,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-UTM,WET,38.5879,-109.5775,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-UTP,WET,41.0604,-112.1013,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
US-UTV,CRO,40.1266,-109.9546,1,1,1,1,1,488.528,1537.42,1125.68,644.9523316897959,11.215,VUT,VUT,VUT,NT,NT,1
US-UTW,CRO,39.4453,-110.7288,1,1,1,2,2,569.101,1618.35,1042.86,756.9051718040816,5.1421149999999995,VUT,VUT,VUT,NT,NT,1
US-Var,GRA,38.4133,-120.9508,25,24,25,25,25,-56.3159,721.585,686.636,302.784223444898,46.1511,VUT,VUT,VUT,NT,NT,1
US-Vcm,ENF,35.8885,-106.5322,11,11,11,16,16,25.5938,499.511,465.029,490.81986102857144,34.473349999999996,BOTH,BOTH,BOTH,NT,NT,0.9090909090909091
US-Vcp,ENF,35.8641,-106.5965,17,17,16,17,17,295.229,1256.57,950.751,587.1130471836735,58.2012,VUT,VUT,VUT,NT,NT,1
US-VT1,CRO,40.4064,-87.5214,1,1,1,1,1,26.9308,1407.86,1400.27,690.9993783183673,22.3395,VUT,VUT,VUT,NT,NT,1
US-VT2,CRO,40.4018,-87.5213,1,1,1,1,1,46.2741,1354.65,1355.88,683.5698176326531,22.9357,VUT,VUT,VUT,NT,NT,1
US-WCr,DBF,45.8058,-90.0795,11,11,11,17,18,384.049,1114.01,899.531,428.9927263346939,24.63225,CUT,CUT,CUT,NT,NT,0
US-Whs,OSH,31.7438,-110.0522,18,16,15,18,18,-26.392650000000003,104.71979999999999,112.015,257.7708492244898,64.9477,CUT,CUT,CUT,NT,NT,0
US-Wjs,SAV,34.4258,-105.8617,16,16,16,17,17,128.0015,532.386,393.351,329.92247137959185,61.0565,VUT,VUT,VUT,NT,NT,1
US-Wkg,GRA,31.7365,-109.9419,21,21,21,21,21,24.861,240.094,236.751,292.9923509877551,58.1963,VUT,VUT,VUT,NT,NT,1
US-WPT,WET,41.4646,-82.9962,3,3,3,3,3,-189.398,761.679,850.314,702.7117561469388,7.96203,VUT,VUT,VUT,NT,NT,1
US-WT1,CRO,34.3674,-101.8154,1,1,1,1,1,41.3489,356.172,304.221,338.98401080816325,42.979,VUT,VUT,VUT,NT,NT,1
US-xAB,ENF,45.7624,-122.3303,2,2,2,3,3,91.813,1683.815,1592.005,473.2313292734694,29.2088,VUT,VUT,VUT,NT,NT,1
US-xAE,GRA,35.4106,-99.0588,5,5,5,6,6,27.1097,608.589,582.803,509.21085746938775,44.23195,VUT,VUT,VUT,NT,NT,1
US-xBA,WET,71.2824,-156.6194,0,0,0,1,1,NA,NA,NA,70.53973723102041,0.616907,NA,NA,NA,NA,NA,NA
US-xBL,DBF,39.0603,-78.0716,3,3,3,4,4,333.428,1831.63,1555.44,639.840644522449,23.77285,VUT,VUT,VUT,NT,NT,1
US-xBN,ENF,65.154,-147.5026,4,4,4,5,5,-29.644895000000002,511.774,562.909,201.69041789387757,19.6289,VUT,VUT,VUT,NT,NT,1
US-xBR,DBF,44.0639,-71.2873,4,4,4,5,5,205.0965,1363.2350000000001,1292.01,511.8088851918366,18.5145,VUT,VUT,VUT,NT,NT,1
US-xCL,GRA,33.4012,-97.57,4,4,4,5,6,108.82889999999999,1310.955,1195.42,695.939108767347,31.99315,VUT,VUT,VUT,NT,NT,1
US-xCP,GRA,40.8155,-104.7456,3,3,3,3,3,-99.792,120.691,232.315,243.6620258938775,34.0503,VUT,VUT,VUT,NT,NT,1
US-xDC,GRA,47.1617,-99.1066,6,6,6,6,6,-55.247749999999996,945.913,968.818,461.0610442285714,9.59883,VUT,VUT,VUT,NT,NT,1
US-xDJ,ENF,63.881100000000004,-145.7514,5,5,5,5,5,8.71894,535.232,533.532,253.3894950857143,17.1925,VUT,VUT,VUT,NT,NT,1
US-xDL,MF,32.5417,-87.8039,4,4,4,4,4,459.837,2106.12,1647.385,803.5382881469388,31.24575,VUT,VUT,VUT,NT,NT,1
US-xDS,CVM,28.125,-81.4362,4,4,4,4,4,88.38884999999999,1316.6100000000001,1206.375,699.9140783020408,41.2239,VUT,VUT,VUT,NT,NT,1
US-xGR,DBF,35.689,-83.5019,2,2,2,4,4,-436.8505,2300.99,2747.8450000000003,639.5849635591836,7.392125,VUT,VUT,VUT,NT,NT,1
US-xHE,OSH,63.8757,-149.2133,3,3,3,4,4,-6.64101,413.64,414.062,202.78140920816327,0.9927655,VUT,VUT,VUT,NT,NT,1
US-xJE,ENF,31.1948,-84.4686,3,3,3,4,4,41.5367,1957.24,1890.48,783.7973992653061,33.4397,VUT,VUT,VUT,NT,NT,1
US-xJR,OSH,32.5907,-106.8425,6,6,6,6,6,-22.12245,147.502,167.0725,217.8685181387755,63.189,VUT,VUT,VUT,NT,NT,1
US-xKZ,GRA,39.1008,-96.5631,5,5,5,5,5,128.073,1296.03,1080.89,558.7601536653061,19.9995,VUT,VUT,VUT,NT,NT,1
US-xLE,DBF,31.8539,-88.1612,1,1,1,2,2,324.756,2248.08,1945.91,761.6497603591837,21.7949,CUT,CUT,CUT,NT,NT,0
US-xMB,OSH,38.2483,-109.3883,4,4,4,4,4,-31.1025,135.0975,163.33350000000002,240.64924114285714,37.513000000000005,VUT,VUT,VUT,NT,NT,1
US-xML,DBF,37.3783,-80.5248,1,1,1,5,5,-74.8473,1171.81,1228.06,440.07781635918366,31.6679,CUT,CUT,CUT,NT,NT,0
US-xNG,GRA,46.7697,-100.9154,4,4,4,4,4,46.68535,817.4875,781.9955,438.598473355102,16.78825,VUT,VUT,VUT,NT,NT,1
US-xNQ,OSH,40.1776,-112.4524,3,3,3,3,3,9.60008,133.421,137.835,212.75361080816324,43.9869,BOTH,BOTH,BOTH,NT,NT,0.6666666666666666
US-xNW,ENF,40.0543,-105.5824,0,0,0,1,1,NA,NA,NA,534.4942913632652,-5.082,NA,NA,NA,NA,NA,NA
US-xPU,EBF,19.5531,-155.3173,2,2,2,3,3,467.96799999999996,1636.655,1474.37,667.347923167347,35.8254,VUT,VUT,VUT,DT,DT,1
US-xRM,ENF,40.2759,-105.5459,4,4,4,5,5,-74.3359,716.875,815.181,511.4675478857143,29.227,VUT,VUT,VUT,NT,NT,1
US-xRN,DBF,35.9641,-84.2826,4,4,4,5,5,61.6004,1912.77,1902.325,742.3751511183674,30.9119,VUT,VUT,VUT,NT,NT,1
